image_path,colors,predictions
autoportrait 004.jpg,"[[0.00094022 0.00236541 0.00754906]
 [0.02682195 0.14997035 0.38831617]
 [0.00713776 0.03167674 0.06392369]
 [0.01356739 0.08616625 0.23330068]
 [0.10973023 0.27414776 0.60583429]]","['spotlight', 'matchstick', 'digital_clock']"
naze 063.jpg,"[[0.18477081 0.19718284 0.21138094]
 [0.02393787 0.05668749 0.11155042]
 [0.41030318 0.40910127 0.41045369]
 [0.30599108 0.31303421 0.32100055]
 [0.08253131 0.24590304 0.36982899]]","['spotlight', 'matchstick', 'digital_clock']"
test low key 012.jpg,"[[0.00100409 0.00138531 0.01520903]
 [0.00419168 0.28888555 0.63447045]
 [0.00294728 0.15840656 0.41609918]
 [0.00239055 0.06123326 0.20722727]
 [0.00529464 0.45513081 0.84363135]]","['spotlight', 'digital_clock', 'matchstick']"
test low key 014.jpg,"[[0.00443171 0.0044318  0.0044318 ]
 [0.18756226 0.18755777 0.18756001]
 [0.12261184 0.12258716 0.1225894 ]
 [0.25529713 0.25513906 0.25515035]
 [0.06184407 0.06184162 0.06184162]]","['spotlight', 'matchstick', 'digital_clock']"
test low key 017.jpg,"[[0.00058124 0.0009025  0.01099223]
 [0.02510855 0.17026757 0.28729012]
 [0.20814277 0.38170922 0.54963204]
 [0.00310135 0.06492238 0.13429084]
 [0.11347503 0.27348409 0.41782596]]","['spotlight', 'matchstick', 'digital_clock']"
macro+012 (1).jpg,"[[0.00583233 0.00688037 0.30448214]
 [0.11183218 0.01094233 0.67789161]
 [0.70688523 0.72246807 0.73836346]
 [0.03547433 0.00747055 0.53985438]
 [0.18826117 0.26484532 0.67211632]]","['spotlight', 'matchstick', 'digital_clock']"
macro+019.jpg,"[[0.0372891  0.51704016 0.65410356]
 [0.12613976 0.10540132 0.17154093]
 [0.42263893 0.76500215 0.81366296]
 [0.06254218 0.03612846 0.49534158]
 [0.33317359 0.34505266 0.36363093]]","['spotlight', 'digital_clock', 'matchstick']"
ok+009.jpg,"[[0.21074178 0.33850816 0.29968714]
 [0.86774578 0.87282674 0.87925724]
 [0.47469911 0.50832242 0.51612636]
 [0.70130076 0.72272153 0.73848323]
 [0.06887584 0.19525291 0.12996094]]","['spotlight', 'digital_clock', 'matchstick']"
ok+020.jpg,"[[0.30156657 0.48425629 0.58690513]
 [0.46717633 0.62314903 0.72747929]
 [0.0098729  0.24433928 0.26502219]
 [0.03224183 0.50037595 0.6290347 ]
 [0.0405562  0.35466288 0.44093838]]","['spotlight', 'matchstick', 'digital_clock']"
weekend_coloc+009.jpg,"[[0.28034664 0.31619682 0.30932434]
 [0.64539623 0.61701839 0.59773793]
 [0.46478025 0.45357176 0.44845287]
 [0.11792105 0.21134305 0.17982004]
 [0.83877896 0.80274207 0.77121898]]","['spotlight', 'digital_clock', 'matchstick']"
weekend_coloc+368.jpg,"[[0.44975472 0.45750081 0.43247789]
 [0.20694841 0.00558468 0.5593709 ]
 [0.66407506 0.22516289 0.85847331]
 [0.79689504 0.78153019 0.7736535 ]
 [0.41128758 0.01681917 0.73895837]]","['spotlight', 'matchstick', 'digital_clock']"
weekend_coloc+396.jpg,"[[0.82360868 0.80088844 0.78062077]
 [0.60353923 0.56853135 0.53470288]
 [0.37488094 0.39299118 0.38204475]
 [0.72184309 0.68952591 0.66131849]
 [0.17335274 0.21283128 0.21684889]]","['spotlight', 'digital_clock', 'matchstick']"
candle.png,"[[0.24846372 0.22356529 0.39624924]
 [0.39715159 0.52333854 0.75537937]
 [0.06725486 0.03623812 0.06922584]
 [0.59681561 0.37072698 0.08763185]
 [0.30275886 0.12012895 0.1390648 ]]","['spotlight', 'matchstick', 'digital_clock']"
Paris 159.jpg,"[[0.42545381 0.3167908  0.16254442]
 [0.05224196 0.03608893 0.01947648]
 [0.74413642 0.7577257  0.73851251]
 [0.24670658 0.15635258 0.03475514]
 [0.58983729 0.48972702 0.34850599]]","['spotlight', 'matchstick', 'digital_clock']"
Paris_25-06 261.jpg,"[[0.07349777 0.04960734 0.02237372]
 [0.39647401 0.31187368 0.20590274]
 [0.70156713 0.52554392 0.32183987]
 [0.25968453 0.18135141 0.07521179]
 [0.65937545 0.64702332 0.63371903]]","['spotlight', 'digital_clock', 'matchstick']"
reflet 032.jpg,"[[0.48177467 0.08640519 0.01930509]
 [0.42800285 0.56968874 0.75080166]
 [0.05814354 0.03929292 0.10665083]
 [0.36093447 0.42806392 0.56657808]
 [0.82177688 0.18188815 0.00224631]]","['spotlight', 'matchstick', 'digital_clock']"
reflet 059.jpg,"[[0.09539671 0.18306833 0.24849008]
 [0.50857115 0.52419661 0.5636128 ]
 [0.25662004 0.32090841 0.37941345]
 [0.02770941 0.05312542 0.0828974 ]
 [0.79466596 0.88173005 0.92098083]]","['spotlight', 'digital_clock', 'matchstick']"
reflet 062.jpg,"[[0.21128486 0.37773587 0.53537792]
 [0.17203547 0.19578194 0.19432016]
 [0.26106738 0.31475026 0.34924438]
 [0.27197021 0.48565839 0.66913064]
 [0.33541395 0.42975378 0.49644437]]","['spotlight', 'matchstick', 'digital_clock']"
reflet 067.jpg,"[[0.70498225 0.81909899 0.9496732 ]
 [0.06262004 0.13919289 0.2148126 ]
 [0.01114267 0.04200436 0.08000016]
 [0.16409507 0.25239051 0.35747102]
 [0.37280439 0.47806405 0.6136048 ]]","['spotlight', 'digital_clock', 'matchstick']"
